Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: blocks,Spreadsheet: state,Spreadsheet: highProbCue,Spreadsheet: lowProbCue,Spreadsheet: outcomes_array,Spreadsheet: answers,Spreadsheet: stimuli_left,Spreadsheet: stimuli_right,Spreadsheet: leftIdx,Spreadsheet: rightIdx,Spreadsheet: loss_blue,Spreadsheet: loss_red,Spreadsheet: xfix,Spreadsheet: xcues,Manipulation: Spreadsheet,Store: amount0,Store: amount,Store: correct,Store: total
1185,1697785899081,20/10/2023 07:11:39,1697789499081,1,20/10/2023 09:11:39,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,15,trial4,1,9l5xr2,1,timedOut,,1244,1244,1244,1244,1244,1244,1,1244,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1242.148256,942.6797255,,0.5,37.5,149,224
1186,1697785899649,20/10/2023 07:11:39,1697789499649,1,20/10/2023 09:11:39,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,15,trial4,1,9l5xr2,1,continue,,1812,1812,1812,1812,1812,1812,1,1812,0,0,,Fixation Timing,Fixation,1,object-132,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1242.148256,942.6797255,,0.5,37.5,149,224
1187,1697785900018,20/10/2023 07:11:40,1697789500018,1,20/10/2023 09:11:40,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,15,trial4,2,kcxrxf,2,timedOut,,938,938,938,938,938,938,1,938,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1242.148256,942.6797255,,0.5,37.5,149,224
1188,1697785900126,20/10/2023 07:11:40,1697789500126,1,20/10/2023 09:11:40,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,15,trial4,3,swrfk9,3,response,1,106,100,106,106,100,106,1,106,0,0,,Keyboard Response,Keyboard Response,4,object-293,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1242.148256,942.6797255,,0.5,37.5,150,225
1189,1697785901613,20/10/2023 07:11:41,1697789501613,1,20/10/2023 09:11:41,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,15,trial4,4,7p4hon,4,timedOut,,1494.0000000001164,1494,1494.0000000001164,1494.0000000001164,1494,1494.0000000001164,1,1494.0000000001164,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1242.148256,942.6797255,,0.5,37.5,150,225
1190,1697785902685,20/10/2023 07:11:42,1697789502685,1,20/10/2023 09:11:42,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,16,trial4,1,9l5xr2,1,timedOut,,1073,1073,1073,1073,1073,1073,1,1073,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1073.257455,972.7895945,,0.5,37.5,150,225
1191,1697785903253,20/10/2023 07:11:43,1697789503253,1,20/10/2023 09:11:43,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,16,trial4,1,9l5xr2,1,continue,,1641,1641,1641,1641,1641,1641,1,1641,0,0,,Fixation Timing,Fixation,1,object-132,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1073.257455,972.7895945,,0.5,37.5,150,225
1192,1697785903657,20/10/2023 07:11:43,1697789503657,1,20/10/2023 09:11:43,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,16,trial4,2,kcxrxf,2,timedOut,,971,971,971,971,971,971,1,971,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1073.257455,972.7895945,,0.5,37.5,150,225
1193,1697785904208,20/10/2023 07:11:44,1697789504208,1,20/10/2023 09:11:44,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,16,trial4,3,swrfk9,3,response,1,551,538,551,551,538,551,1,551,0,0,,Keyboard Response,Keyboard Response,4,object-293,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1073.257455,972.7895945,,0.5,37.5,151,226
1194,1697785905690,20/10/2023 07:11:45,1697789505690,1,20/10/2023 09:11:45,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,16,trial4,4,7p4hon,4,timedOut,,1495.0000000001164,1495,1495.0000000001164,1495.0000000001164,1495,1495.0000000001164,1,1495.0000000001164,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1073.257455,972.7895945,,0.5,37.5,151,226
1195,1697785906959,20/10/2023 07:11:46,1697789506959,1,20/10/2023 09:11:46,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,17,trial4,1,9l5xr2,1,timedOut,,1270,1270,1270,1270,1270,1270,1,1270,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1269.298339,831.1909302,,0.5,37.5,151,226
1196,1697785907530,20/10/2023 07:11:47,1697789507530,1,20/10/2023 09:11:47,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,17,trial4,1,9l5xr2,1,continue,,1841,1841,1841,1841,1841,1841,1,1841,0,0,,Fixation Timing,Fixation,1,object-132,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1269.298339,831.1909302,,0.5,37.5,151,226
